Trade,Strategy,Symbol,Side,DateIn,TimeIn,QtyIn,PriceIn,DateOut,TimeOut,QtyOut,PriceOut,Reason,Bars,PctGain,Profit,PctMFE,PctMAE,Fraction,Size,CommsIn,CommsInPct,CommsOut,CommsOutPct,SlipIn,SlipInPct,SlipOut,SlipOutPct,Dividends,FXSize,FxIn,FxOut,NetFX,SavedCalcIn,SavedCalcOut,VolumePct_In,VolumePct_Out
67,ASX_Trend_Following,PMV.au,Long,1998-01-13,open,2006.0,1.8093,1998-08-24,open,2006.0,1.6915,zero position,93,-0.0411,-149.21,0.3541,-0.088,0.0297,3629,6.6,0.0018,6.6,0.0019,18.56,0.0051,17.05,0.005,100.3,3629.46,1,1,0,0,0,0.32618,0.66867
68,ASX_Trend_Following,AUD-200209.au,Long,1997-12-29,open,2640.0,2.3718,1998-09-07,open,2640.0,2.589,zero position,175,0.1148,718.61,0.2564,-0.0514,0.05,6262,6.6,0.0011,6.6,0.001,31.15,0.005,34.35,0.005,158.4,6261.55,1,1,0,0,0,0.04377,0.06014
69,ASX_Trend_Following,IBC.au,Long,1998-08-24,open,8959.0,0.7136,1998-09-07,open,8959.0,0.6468,zero position,10,-0.0606,-387.69,0.0,-0.1172,0.05,6393,6.6,0.001,6.6,0.0011,32.25,0.005,29.12,0.005,223.98,6393.14,1,1,0,0,0,0.29115,0.13741
70,ASX_Trend_Following,AGE-199809.au,Long,1998-03-30,open,166.0,19.5975,1998-09-28,close,166.0,22.885,end of data,86,0.1637,532.53,0.2042,-0.005,0.0244,3253,6.6,0.002,6.6,0.0017,16.19,0.005,19.09,0.005,0.0,3253.18,1,1,0,0,0,0.00769,0.07728
71,ASX_Trend_Following,AGE-199809.au,Long,1998-05-01,open,154.0,20.7033,1998-09-28,close,154.0,22.885,end of data,64,0.1012,322.78,0.1399,-0.0243,0.0241,3188,6.6,0.0021,6.6,0.0019,15.9,0.005,17.71,0.005,0.0,3188.31,1,1,0,0,0,0.01305,0.07169
72,ASX_Trend_Following,JNA-199810.au,Long,1998-10-02,open,1782.0,3.7685,1998-10-02,close,1782.0,3.7313,end of data,0,-0.0118,-79.49,0.0,-0.0049,0.05,6715,6.6,0.001,6.6,0.001,32.97,0.0049,33.41,0.005,0.0,6715.47,1,1,0,0,0,3.564,3.564
73,ASX_Trend_Following,CBS-200009.au,Long,1998-05-18,open,290.0,23.1761,1998-10-12,open,290.0,19.7508,zero position,90,-0.1498,-1006.54,0.1434,-0.1435,0.05,6721,6.6,0.001,6.6,0.0012,33.07,0.0049,28.78,0.005,0.0,6721.07,1,1,0,0,0,0.07819,0.53211
74,ASX_Trend_Following,CTY-201407.au,Long,1998-01-05,open,3023.0,2.0703,1998-10-12,open,3023.0,1.6915,zero position,63,-0.1851,-1158.31,0.0626,-0.1789,0.05,6259,6.6,0.0011,6.6,0.0013,31.14,0.005,25.7,0.005,0.0,6258.52,1,1,0,0,0,0.22631,0.6046
75,ASX_Trend_Following,TGG-202110.au,Long,1998-03-02,open,3834.0,1.7487,1998-10-12,open,3834.0,1.7015,zero position,152,0.114,764.34,0.1437,-0.0564,0.05,6705,6.6,0.001,6.6,0.001,33.36,0.005,32.78,0.005,958.51,6704.52,1,1,0,0,0,0.18999,0.20178
76,ASX_Trend_Following,SCR-199810.au,Long,1998-09-14,open,2012.0,3.216,1998-10-27,close,2012.0,3.1641,end of data,30,-0.0182,-117.62,0.0,-0.0964,0.05,6471,6.6,0.001,6.6,0.001,32.19,0.005,31.99,0.005,0.0,6470.59,1,1,0,0,0,0.00827,0.08924
77,ASX_Trend_Following,SST.au,Long,1998-06-23,open,581.0,4.275,1998-11-02,open,581.0,4.975,zero position,46,0.1818,451.6,0.1813,-0.0058,0.0232,2484,6.6,0.0027,6.6,0.0023,14.5,0.0058,14.53,0.005,58.1,2483.78,1,1,0,0,0,0.04842,0.72625
